Sample;AMELX.pos;AMELX.neg;LAMA3.pos;LAMA3.neg;IL13RA1.pos;IL13RA1.neg;LNX2.pos;LNX2.neg;SMCHD1.pos;SMCHD1.neg;ATP11C.pos;ATP11C.neg;ITGBL1.pos;ITGBL1.neg;DSCR3.pos;DSCR3.neg;AMELY.pos;AMELY.neg;C18ORF62.pos;C18ORF62.neg;CLIC6.pos;CLIC6.neg;SRY.pos;SRY.neg;SYNJ1.pos;SYNJ.neg;RPP30.pos;RPP30.neg
19_sample;142;13009;281;12870;431;12973;288;13116;297;14379;450;14226;311;13989;300;14000;2;14843;309;14536;321;14244;0;14565;317;13599;326;13590
19_sample;159;14154;337;13976;411;13085;275;13221;313;14263;486;14090;317;14565;305;14577;0;14587;326;14261;313;14124;0;14437;305;13972;308;13969
19_sample;167;15863;355;15675;448;14156;302;14302;314;14345;466;14193;351;14568;313;14606;0;15234;318;14916;272;13323;0;13595;285;14307;325;14267
20_sample;671;12370;1386;11655;NA;NA;NA;NA;1353;12129;765;12717;1633;13119;2266;12486;797;13893;1564;13126;2317;11841;764;13394;2059;11479;1345;12193
20_sample;689;12035;1300;11424;836;14669;1708;13797;1502;12272;705;13069;1265;11515;1951;10829;724;12425;1388;11761;2286;12380;789;13877;2121;11820;1452;12489
20_sample;764;13855;1529;13090;712;13961;1570;13103;1468;12771;770;13469;1390;11741;1985;11146;694;13332;1481;12545;2203;12697;760;14140;2197;12134;1498;12833
01_control;1467;11723;1415;11775;NA;NA;NA;NA;1550;13060;1555;13055;1528;12285;1571;12242;0;13705;1489;12216;1569;13294;0;14863;1410;11228;1425;11213
01_control;1418;11918;1424;11912;1502;12548;1488;12562;1451;12520;1502;12469;1416;12575;1534;12457;0;12060;1305;10755;1615;13028;0;14643;1490;12207;1467;12230
01_control;1242;10531;1225;10548;1559;14004;1577;13986;1620;13575;1580;13615;1445;12298;1498;12245;0;14813;1525;13288;1558;12978;0;14536;NA;NA;NA;NA
02_control;1455;12677;1416;12716;NA;NA;NA;NA;1393;12243;1353;12283;1430;13154;1522;13062;0;14094;1432;12662;1486;12451;0;13937;1279;11246;1304;11221
02_control;1534;13595;1487;13642;1554;13521;1567;13508;1440;12370;1365;12445;1444;12561;1444;12561;0;14237;1485;12752;1512;12863;0;14375;1248;10695;1251;10692
02_control;1175;11154;1209;11120;1509;13567;1538;13538;1525;14152;1500;14177;1455;13290;1489;13256;0;14072;1438;12634;1377;12501;1;13877;1428;12948;1418;12958
03_control;838;12713;1683;11868;NA;NA;NA;NA;1720;11806;871;12655;1509;10966;1488;10987;818;11504;1554;10768;1686;12409;918;13177;1557;11377;1630;11304
03_control;834;12943;1713;12064;871;13990;1797;13064;1668;11757;823;12602;1785;12993;1755;13023;776;11484;1523;10737;1685;12154;868;12971;1680;11431;1673;11438
03_control;869;12239;1489;11619;889;13299;1657;12531;1810;13421;926;14305;1794;12937;1784;12947;906;12966;1701;12171;1783;12807;919;13671;1586;11132;1516;11202
04_control;853;11807;1582;11078;NA;NA;NA;NA;1696;12142;841;12997;1623;10828;1529;10922;856;11361;1607;10610;1480;10022;789;10713;1638;11069;1654;11053
04_control;812;12170;1671;11311;941;13619;1835;12725;1850;12291;936;13205;1852;13052;1853;13051;976;12798;1889;11885;1574;11016;783;11807;1797;11959;1837;11919
04_control;746;11333;1509;10570;970;13914;1844;13040;1953;13773;972;14754;1774;12896;1796;12874;890;12189;1840;11239;NA;NA;NA;NA;NA;NA;NA;NA

